COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
2,55,1224.029901844822,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,0,1223.136923841942,1222.981505958584,1220.888425320934,1219.832102208645,0,0,0,0
2,56,1226.044461265019,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,0,1224.029901844822,1223.136923841942,1222.981505958584,1220.888425320934,0,0,0,0
2,57,1226.84686347721,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,0,1226.044461265019,1224.029901844822,1223.136923841942,1222.981505958584,0,0,0,0
2,58,1229.670833246008,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,0,1226.84686347721,1226.044461265019,1224.029901844822,1223.136923841942,0,0,0,0
2,59,1230.965125289598,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,0,1229.670833246008,1226.84686347721,1226.044461265019,1224.029901844822,0,0,0,0
2,60,1233.082818449113,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,1245.613446313735,0,1230.965125289598,1229.670833246008,1226.84686347721,1226.044461265019,0,0,0,0
2,61,1235.380014381748,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,1245.613446313735,1246.869297577156,0,1233.082818449113,1230.965125289598,1229.670833246008,1226.84686347721,0,0,0,0
2,62,1236.884405540585,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,1245.613446313735,1246.869297577156,1247.440032633986,0,1235.380014381748,1233.082818449113,1230.965125289598,1229.670833246008,0,0,0,0
2,63,1238.482751656836,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,1245.613446313735,1246.869297577156,1247.440032633986,1248.835555118237,0,1236.884405540585,1235.380014381748,1233.082818449113,1230.965125289598,0,0,0,0
2,64,1240.195710750704,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,1245.613446313735,1246.869297577156,1247.440032633986,1248.835555118237,1249.835820536559,0,1238.482751656836,1236.884405540585,1235.380014381748,1233.082818449113,0,0,0,0
2,65,1241.056706113787,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,1245.613446313735,1246.869297577156,1247.440032633986,1248.835555118237,1249.835820536559,1250.321072621743,0,1240.195710750704,1238.482751656836,1236.884405540585,1235.380014381748,0,0,0,0
2,66,1240.832867809295,1241.162027138618,1242.876664799644,1243.369749046044,1245.613446313735,1246.869297577156,1247.440032633986,1248.835555118237,1249.835820536559,1250.321072621743,1253.279098013481,0,1241.056706113787,1240.195710750704,1238.482751656836,1236.884405540585,0,0,0,0
